,index,file,date,bathym_mean,bathym_q25,bathym_q10,milemarker,segment_id,water_elev,geometry,bathym_fixing,bathym_fixed,depth,year
56,729,LM_11_YBS_20150611_CS_MB_5363_5368_w_datum.gpkg,2015-06-11 00:00:00+00:00,-67.6684341430664,-76.8810043334961,-79.79724884033203,536.0,58,87.98712332540101,"POLYGON ((-91.14625677960365 33.347061416959185, -91.1289753554932 33.347061416959185, -91.1289753554932 33.36073486306323, -91.14625677960365 33.36073486306323, -91.14625677960365 33.347061416959185))",67.6684341430664,67.6684341430664,20.31868918233461,2015
57,609,LM_09_LPM_20150612_CS_5114_5142_w_datum.gpkg,2015-06-12 00:00:00+00:00,-40.52826690673828,-52.14099884033203,-56.26900405883789,513.0,61,77.7111362091108,"POLYGON ((-91.17479307460671 33.065060525444906, -91.1488219140126 33.065060525444906, -91.1488219140126 33.106981343624184, -91.17479307460671 33.106981343624184, -91.17479307460671 33.065060525444906))",40.52826690673828,40.52826690673828,37.182869302372524,2015
58,730,LM_11_YBS_20150612_CS_MB_5358_5363_w_datum.gpkg,2015-06-12 00:00:00+00:00,-70.12698364257812,-77.36000061035156,-78.42989349365234,536.0,58,87.98712332540101,"POLYGON ((-91.15367415113026 33.3416297796552, -91.13383624389569 33.3416297796552, -91.13383624389569 33.35510281073852, -91.15367415113026 33.35510281073852, -91.15367415113026 33.3416297796552))",70.12698364257812,70.12698364257812,17.86013968282289,2015
59,610,LM_09_LPM_20150613_CS_5072_5112_w_datum.gpkg,2015-06-13 00:00:00+00:00,-25.623443603515625,-32.214332580566406,-38.255662536621095,509.0,61,76.11113772002719,"POLYGON ((-91.17432247479188 33.005724768124594, -91.14263352301377 33.005724768124594, -91.14263352301377 33.064003696369376, -91.17432247479188 33.064003696369376, -91.17432247479188 33.005724768124594))",25.623443603515625,25.623443603515625,50.48769411651156,2015
60,731,LM_11_YBS_20150613_CS_MB_5353_5358_w_datum.gpkg,2015-06-13 00:00:00+00:00,-67.59230041503906,-69.3714427947998,-69.78639907836914,535.0,58,87.45192446677243,"POLYGON ((-91.16244332061214 33.337215315416266, -91.13865006076335 33.337215315416266, -91.13865006076335 33.35012026871882, -91.16244332061214 33.35012026871882, -91.16244332061214 33.337215315416266))",67.59230041503906,67.59230041503906,19.859624051733363,2015
61,611,LM_09_LPM_20150614_CS_5034_5070_w_datum.gpkg,2015-06-14 00:00:00+00:00,-39.273223876953125,-46.09199905395508,-54.79766845703125,505.0,61,74.51113923094356,"POLYGON ((-91.17500406839015 32.95354253662838, -91.13833991819897 32.95354253662838, -91.13833991819897 33.01041738183997, -91.17500406839015 33.01041738183997, -91.17500406839015 32.95354253662838))",39.273223876953125,39.273223876953125,35.23791535399043,2015
62,732,LM_11_YBS_20150614_CS_MB_5348_5353_w_datum.gpkg,2015-06-14 00:00:00+00:00,-62.149295806884766,-67.85802268981934,-69.2713851928711,535.0,58,87.45192446677243,"POLYGON ((-91.17054106537896 33.33378864218853, -91.1452719471511 33.33378864218853, -91.1452719471511 33.34560681945188, -91.17054106537896 33.34560681945188, -91.17054106537896 33.33378864218853))",62.149295806884766,62.149295806884766,25.30262865988766,2015
63,612,LM_09_LPM_20150615_CS_4992_5032_w_datum.gpkg,2015-06-15 00:00:00+00:00,-26.46155166625977,-40.028913497924805,-43.494331741333006,501.0,62,72.91114074185992,"POLYGON ((-91.14269650610747 32.930050063783945, -91.07308753183008 32.930050063783945, -91.07308753183008 32.97442421001484, -91.14269650610747 32.97442421001484, -91.14269650610747 32.930050063783945))",26.46155166625977,26.46155166625977,46.44958907560016,2015
64,613,LM_09_LPM_20150616_CS_4958_4990_w_datum.gpkg,2015-06-16 00:00:00+00:00,,,,497.0,62,71.31114225277629,"POLYGON ((-91.08620768479582 32.892624482141244, -91.05987076719478 32.892624482141244, -91.05987076719478 32.941366573026606, -91.08620768479582 32.941366573026606, -91.08620768479582 32.892624482141244))",,,,2015
65,733,LM_11_YBS_20150616_CS_MB_5343_5348_w_datum.gpkg,2015-06-16 00:00:00+00:00,-47.32931137084961,-46.25095844268799,-53.05100059509277,534.0,58,86.91672560814382,"POLYGON ((-91.17807297559635 33.33003875724859, -91.15083767301422 33.33003875724859, -91.15083767301422 33.34044664405893, -91.17807297559635 33.34044664405893, -91.17807297559635 33.33003875724859))",47.32931137084961,47.32931137084961,39.58741423729421,2015
66,734,LM_11_YBS_20150617_CS_MB_5338_5343_w_datum.gpkg,2015-06-17 00:00:00+00:00,-32.55961227416992,-38.150089263916016,-40.25471496582031,534.0,58,86.91672560814382,"POLYGON ((-91.18281224192393 33.325421758481504, -91.15767719641269 33.325421758481504, -91.15767719641269 33.33383272695108, -91.18281224192393 33.33383272695108, -91.18281224192393 33.325421758481504))",32.55961227416992,32.55961227416992,54.3571133339739,2015
67,735,LM_11_YBS_20150625_CS_MB_5333_5338_w_datum.gpkg,2015-06-25 00:00:00+00:00,-31.099197387695312,-36.11225128173828,-37.6510009765625,533.0,59,86.38152674951523,"POLYGON ((-91.18543618643298 33.31762027996028, -91.16168821402356 33.31762027996028, -91.16168821402356 33.32614529378537, -91.18543618643298 33.32614529378537, -91.18543618643298 33.31762027996028))",31.099197387695312,31.099197387695312,55.28232936181992,2015
